name *,version *,license *,copyrights *,end-of-support,dependencies,language,repository,email,URL
aopalliance:aopalliance,1.0,PUBDOM,,-,,java,-,-,https://mvnrepository.com/artifact/aopalliance/aopalliance
apiopsan-common,--,Apache-2.0,,-,,java,-,-,
apiopsan-dependencies,--,Apache-2.0,,-,,java,-,-,
cglib:cglib,2.2.2,Apache-2.0,,-,,java,-,-,https://mvnrepository.com/artifact/cglib/cglib
cglib:cglib-nodep,2.1_3,Apache-2.0,,-,,java,-,-,https://mvnrepository.com/artifact/cglib/cglib-nodep
com.fasterxml.jackson.core:jackson-annotations,2.12.1,Apache-2.0,,-,,java,-,-,https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-annotations
com.fasterxml.jackson.core:jackson-core,2.12.1,Apache-2.0,Copyright (c) 2007 Tatu Saloranta, tatu.salorantaiki.fi/,-,,java,-,-,https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-core
com.fasterxml.jackson.core:jackson-databind,2.12.1,Apache-2.0,Copyright 2011 Google Inc. All Rights Reserved.,-,,java,-,-,https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-databind
com.fasterxml.jackson.jaxrs:jackson-jaxrs-base,2.9.9,Apache-2.0,,-,,java,-,-,https://mvnrepository.com/artifact/com.fasterxml.jackson.jaxrs/jackson-jaxrs-base
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,2.12.1,Apache-2.0,,-,,java,-,-,https://mvnrepository.com/artifact/com.fasterxml.jackson.jaxrs/jackson-jaxrs-json-provider
com.fasterxml.jackson.module:jackson-module-jaxb-annotations,2.12.1,Apache-2.0,,-,,java,-,-,https://mvnrepository.com/artifact/com.fasterxml.jackson.module/jackson-module-jaxb-annotations
com.github.fge:json-patch,1.9,LGPL-3.0-only,Apache-2.0,Copyright (c) 2014, Francis Galiegue (fgalieguegmail.com),-,,java,-,-,https://mvnrepository.com/artifact/com.github.fge/json-patch
com.sun.xml.bind:jaxb-impl,2.2.4-1,CDDL-1.1,,-,,java,-,-,https://mvnrepository.com/artifact/com.sun.xml.bind/jaxb-impl
com.sun.xml.messaging.saaj:saaj-impl,1.3.2,CDDL-1.0,Artistic-1.0,,-,,java,-,-,https://mvnrepository.com/artifact/com.sun.xml.messaging.saaj/saaj-impl
commons-dbcp:commons-dbcp,1.2.2,Apache-2.0,,-,,java,-,-,https://mvnrepository.com/artifact/commons-dbcp/commons-dbcp
commons-httpclient:commons-httpclient,2.0.2,Apache-2.0,,-,,java,-,-,https://mvnrepository.com/artifact/commons-httpclient/commons-httpclient
commons-io,2.5,Apache-2.0,,-,,java,-,-,
