name *,version *,license *,copyrights *,end-of-support,dependencies,language,repository,email,URL
@firebase/app,69,Apache-2.0,Copyright 2017 Google LLC,-,-,nodejs,-,-,https://www.npmjs.com/package/%40firebase%2Fapp
@firebase/app-types,61,Apache-2.0,Copyright 2017 Google LLC,-,-,nodejs,-,-,https://www.npmjs.com/package/%40firebase%2Fapp-types
@firebase/component,117,Apache-2.0,Copyright 2017 Google LLC,-,-,nodejs,-,-,https://www.npmjs.com/package/%40firebase%2Fcomponent
@firebase/installations,415,Apache-2.0,Copyright 2017 Google LLC,-,-,nodejs,-,-,https://www.npmjs.com/package/%40firebase%2Finstallations
@firebase/installations-types,34,Apache-2.0,Copyright 2017 Google LLC,-,-,nodejs,-,-,https://www.npmjs.com/package/%40firebase%2Finstallations-types
@firebase/logger,26,Apache-2.0,Copyright 2017 Google LLC,-,-,nodejs,-,-,https://www.npmjs.com/package/%40firebase%2Flogger
@firebase/messaging,621,Apache-2.0,Copyright 2017 Google LLC,-,-,nodejs,-,-,https://www.npmjs.com/package/%40firebase%2Fmessaging
@firebase/messaging-types,45,Apache-2.0,Copyright 2017 Google LLC,-,-,nodejs,-,-,https://www.npmjs.com/package/%40firebase%2Fmessaging-types
@firebase/util,30,Apache-2.0,Copyright 2017 Google LLC,-,-,nodejs,-,-,https://www.npmjs.com/package/%40firebase%2Futil
@quasar/extras,195,MIT,Copyright (c) 2015-present Razvan Stoenescu,-,-,nodejs,-,-,https://www.npmjs.com/package/%40quasar%2Fextras
@types/chart.js,2937,MIT,Copyrights are respective of each contributor listed at the beginning of each definition file,-,-,nodejs,-,-,https://www.npmjs.com/package/%40types%2Fchart.js
animejs,321,MIT,Copyright (c) 2019 Julian Garnier,-,-,nodejs,-,-,https://www.npmjs.com/package/animejs
aos,234,MIT,Copyright (c) 2015 Micha? Sajn¢g,-,-,nodejs,-,-,https://www.npmjs.com/package/aos
axios,211,MIT,Copyright (c) 2014-present Matt Zabriskie,-,-,nodejs,-,-,https://www.npmjs.com/package/axios
axios-mock-adapter,1182,MIT,Copyright (c) Colin Timmermans,-,-,nodejs,-,-,https://www.npmjs.com/package/axios-mock-adapter
capital-case,104,MIT,Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com),-,-,nodejs,-,-,https://www.npmjs.com/package/capital-case
change-case,412,MIT,Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com),-,-,nodejs,-,-,https://www.npmjs.com/package/change-case
chart.js,294,MIT,Copyright (c) 2014-2022 Chart.js Contributors,-,-,nodejs,-,-,https://www.npmjs.com/package/chart.js
chartjs-color,241,MIT,Copyright (c) 2012 Heather Arthur,-,-,nodejs,-,-,https://www.npmjs.com/package/chartjs-color
